,rt,old or new,accuracy,test item,condition,trials,block,node type,participant,resp_old,response,node_type,participant_id
48,1.6055709668435156,new,1.0,stimuli/204.png,unstructured,48,1,new,24067.0,0,-1,new,24067.0
49,1.026774507947266,old,1.0,stimuli/52.png,unstructured,49,1,boundary,24067.0,1,1,boundary,24067.0
50,0.9222621340304613,old,1.0,stimuli/136.png,unstructured,50,1,boundary,24067.0,1,1,boundary,24067.0
51,0.9631318878382444,new,1.0,stimuli/290.png,unstructured,51,1,new,24067.0,0,-1,new,24067.0
52,1.1956473048776388,new,1.0,stimuli/297.png,unstructured,52,1,new,24067.0,0,-1,new,24067.0
53,1.1204960020259023,new,1.0,stimuli/94.png,unstructured,53,1,new,24067.0,0,-1,new,24067.0
54,1.0427267435006797,old,1.0,stimuli/209.png,unstructured,54,1,boundary,24067.0,1,1,boundary,24067.0
55,1.20726133370772,old,1.0,stimuli/5.png,unstructured,55,1,boundary,24067.0,1,1,boundary,24067.0
56,1.1177482497878373,new,1.0,stimuli/71.png,unstructured,56,1,new,24067.0,0,-1,new,24067.0
57,1.2666119309142232,old,1.0,stimuli/154.png,unstructured,57,1,nonboundary,24067.0,1,1,nonboundary,24067.0
58,1.125482282601297,new,0.0,stimuli/45.png,unstructured,58,1,new,24067.0,1,1,new,24067.0
59,1.1370099820196629,old,0.0,stimuli/177.png,unstructured,59,1,nonboundary,24067.0,0,-1,nonboundary,24067.0
60,2.507838473189622,new,1.0,stimuli/216.png,unstructured,60,2,new,24067.0,0,-1,new,24067.0
61,0.9977632821537554,old,1.0,stimuli/5.png,unstructured,61,2,boundary,24067.0,1,1,boundary,24067.0
62,1.429628511890769,old,1.0,stimuli/170.png,unstructured,62,2,boundary,24067.0,1,1,boundary,24067.0
63,1.1441665734164417,old,1.0,stimuli/9.png,unstructured,63,2,nonboundary,24067.0,1,1,nonboundary,24067.0
64,0.8973630270920694,new,1.0,stimuli/284.png,unstructured,64,2,new,24067.0,0,-1,new,24067.0
65,1.07487873127684,old,1.0,stimuli/278.png,unstructured,65,2,nonboundary,24067.0,1,1,nonboundary,24067.0
66,1.4010468199849129,old,1.0,stimuli/209.png,unstructured,66,2,boundary,24067.0,1,1,boundary,24067.0
67,1.6866189339198172,new,1.0,stimuli/150.png,unstructured,67,2,new,24067.0,0,-1,new,24067.0
68,1.8942092852666974,new,1.0,stimuli/178.png,unstructured,68,2,new,24067.0,0,-1,new,24067.0
69,3.899153608828783,new,0.0,stimuli/114.png,unstructured,69,2,new,24067.0,1,1,new,24067.0
70,0.9374844920821488,new,1.0,stimuli/141.png,unstructured,70,2,new,24067.0,0,-1,new,24067.0
71,3.3887183093465865,new,1.0,stimuli/53.png,unstructured,71,2,new,24067.0,0,-1,new,24067.0
72,1.1470223884098232,old,1.0,stimuli/136.png,unstructured,72,2,boundary,24067.0,1,1,boundary,24067.0
73,0.9399101692251861,old,1.0,stimuli/177.png,unstructured,73,2,nonboundary,24067.0,1,1,nonboundary,24067.0
74,1.5647208327427506,new,1.0,stimuli/298.png,unstructured,74,2,new,24067.0,0,-1,new,24067.0
75,1.3103522905148566,old,1.0,stimuli/57.png,unstructured,75,2,boundary,24067.0,1,1,boundary,24067.0
76,0.9885036931373179,old,1.0,stimuli/265.png,unstructured,76,2,nonboundary,24067.0,1,1,nonboundary,24067.0
77,3.0403418159112334,new,1.0,stimuli/93.png,unstructured,77,2,new,24067.0,0,-1,new,24067.0
78,1.0940668117254972,old,1.0,stimuli/101.png,unstructured,78,2,nonboundary,24067.0,1,1,nonboundary,24067.0
79,3.8982987659983337,new,1.0,stimuli/176.png,unstructured,79,2,new,24067.0,0,-1,new,24067.0
80,1.040640648920089,new,1.0,stimuli/277.png,unstructured,80,2,new,24067.0,0,-1,new,24067.0
